name,category,address,maps_url
"ZUS Coffee – Edusentral, Setia Alam",Kuala Lumpur/Selangor,"VB-G-07 (Ground Floor), Edu Sentral, Jalan Setia Murni U13/51, Setia Alam Seksyen U13, 40170 Shah Alam, Selangor Darul Ehsan",https://maps.app.goo.gl/UojmkGDokTKHbgij9
ZUS Coffee – Wangsa Walk Mall,Kuala Lumpur/Selangor,"GL-03A & FL-03A and GL-05 & FL-05, BL-03A & BL-05, Wangsa Walk Mall, Wangsa Permai, 53300 Wilayah Persekutuan Kuala Lumpur",https://maps.app.goo.gl/HWofKJLBZCt23ckZ6
"ZUS Coffee – Uptown Damansara, Petaling Jaya",Kuala Lumpur/Selangor,"44-G (Ground Floor), JALAN SS21/39, DAMANSARA UTAMA, 47400 PETALING JAYA, SELANGOR",https://maps.app.goo.gl/SGuUWhHHEBNd8mFWA
ZUS Coffee – Bangsar Trade Centre,Kuala Lumpur/Selangor,"Lot E-1-2(A), Ground Floor, Tower E, Bangsar Trade Centre. Off Jalan Pantai Baru, 59200 Kuala Lumpur.",https://maps.app.goo.gl/1QrDViaDCQ7m5Dc58
ZUS Coffee – BHPetrol Karak Highway,Kuala Lumpur/Selangor,"Lot 1173, Stesen Minyak BP Lebuhraya Karak Kuala Lumpur, Daerah Gombak, 53000 Kuala Lumpur",https://maps.app.goo.gl/rrkBGoVKpBATxEt89
ZUS Coffee – KL Eco City Mall,Kuala Lumpur/Selangor,"G-12, Ground Floor, KL Eco City Mall, INC, 3, Jalan Bangsar, KL Eco City, 59200 Kuala Lumpur, Federal Territory of Kuala Lumpur",https://maps.app.goo.gl/kFzmFBpFo1N9Qyi58
"ZUS Coffee – Alam Budiman, Shah Alam",Kuala Lumpur/Selangor,"No 53-G, Jalan Pulau Lumut P U10/P, Alam Budiman, Seksyen U10, 40170 Shah Alam, Selangor",https://maps.app.goo.gl/ffTrhw66NZuooUKS8
ZUS Coffee – Elmina Lakeside Mall,Kuala Lumpur/Selangor,"GF-95 & 96, Elmina Lakeside Mall, No.5 & No.7, Persiaran Garcinia, Seksyen U15, 40170 Shah Alam, Selangor Darul Ehsan",https://maps.app.goo.gl/R3BUrKfqbMsDcvyD7
ZUS Coffee – Pinnacle Sri Petaling Mall,Kuala Lumpur/Selangor,"G-K-01, Ground Floor, Pinnacle Sri Petaling Mall, Jalan Radin Anum 1, Bandar Baru Sri Petaling, 57000 Kuala Lumpur, Malaysia",https://maps.app.goo.gl/NYqx1mry2ZT3v6WL6
"ZUS Coffee – Dataran Glomac, Kelana Jaya",Kuala Lumpur/Selangor,"C-G-05 (Ground Floor), Jalan SS 6/5b, Dataran Glomac, 47301 Petaling Jaya, Selangor.",https://maps.app.goo.gl/PbdUfc36FVxXzXz76
"ZUS Coffee – UOA Business Park, Shah Alam",Kuala Lumpur/Selangor,"Unit Lot- 13-03A, Level 1, UOA Business Park, No 1, Jalan Pengatucara U1/51A, Seksyen U1 40150 Selangor Darul Ehsan",https://maps.app.goo.gl/Pju2yTHLgw6Tqe7P6
ZUS Coffee – Atria Shopping Gallery,Kuala Lumpur/Selangor,"Atria Shopping Mall, Kiosk CK9, Concourse Floor, Jalan SS 22/23, Damansara Jaya, 47400 Petaling Jaya, Selangor",https://maps.app.goo.gl/JjyAvXoSL33VPd3p6
"ZUS Coffee – Lebuh Turi, Klang",Kuala Lumpur/Selangor,"Lot No. 88 (Ground Floor), Lebuh Turi, Taman Chi Liung, 41200 Klang, Selangor",https://maps.app.goo.gl/cMVfNAymsUxDVHWK6
"ZUS Coffee – Ground Floor, Menara IQ",Kuala Lumpur/Selangor,"Unit 001, Ground Floor, Menara IQ, TRX 55188 Kuala Lumpur",https://maps.app.goo.gl/BPGx2vU7o7WLXtUs6
"ZUS, Coffee Meets Pastry – 1 Utama Shopping Centre",Kuala Lumpur/Selangor,"Lot G601A, Ground Floor, 1 Utama Shopping Centre, 1, Lebuh Bandar Utama, Bandar Utama, 47800 Petaling Jaya, Selangor",https://maps.app.goo.gl/Qd3UY7VnZNVdPeQU9
"ZUS Coffee – Taman Segar Perdana, Cheras",Kuala Lumpur/Selangor,"No 07GF) Jalan Segar Perdana 2, Taman Segar Perdana, 43200 Cheras, Selangor.",https://maps.app.goo.gl/3ZVWQuWBvvk32DfV8
ZUS Coffee – Sabak Bernam,Kuala Lumpur/Selangor,"No.100 (Ground Floor), Jalan Menteri, Pekan Sabak, 45200 Sabak Bernam, Selangor",https://maps.app.goo.gl/GfSJqhuBsUJbtr5M9
"ZUS Coffee – Jalan Kebun Nenas, Klang",Kuala Lumpur/Selangor,"No 47-G Jalan Kebun Nenas 7A/KS8, Bandar Putera 2, 41200 Klang, Selangor",https://maps.app.goo.gl/Bvkksy8u6HjkSVRZ7
ZUS Coffee – Menara TH Perdana,Kuala Lumpur/Selangor,"Unit L02,Tingkat Bawah, Jln Sultan Ismail, Chow Kit, 50250 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",https://maps.app.goo.gl/7uwonBiP8Jw9VPNXA
ZUS Coffee – MRT Bandar Utama,Kuala Lumpur/Selangor,"MRT Bandar Utama (Kajang Line), Station Concourse area, Persiaran Bandar Utama, Bandar Utama, 47800 Petaling Jaya, Selangor.",https://maps.app.goo.gl/FzLWWCFfbpqx7mTB7
"ZUS Coffee – Micasa Shoppes, Jalan Tun Razak",Kuala Lumpur/Selangor,"Lot G.11 & Mezzanine, Micasa Shoppes, 368A, Jln Tun Razak, Taman U Thant, 55000 Kuala Lumpur, Wilayah Persekutuan",https://maps.app.goo.gl/QEMe5NRA75F4wNDS8
ZUS Coffee – Wisma TH Plaza Sentral,Kuala Lumpur/Selangor,"L-01B, Jalan Stesen Sentral 5, Kuala Lumpur Sentral, 50470 Kuala Lumpur",https://maps.app.goo.gl/6q5uPX6uy64oBC2VA
"ZUS Coffee – Pertama Complex, Kuala Lumpur",Kuala Lumpur/Selangor,"Kiosk No. 3, Kompleks Pertama, Jalan Tuanku Abdul Rahman, 50100 Kuala Lumpur",https://maps.app.goo.gl/qaW4ZmnjGioUqLYV8
"ZUS Coffee – Pekan Kapar, Klang",Kuala Lumpur/Selangor,"No. 228 (Ground Floor), Jalan Besar KU/13, Pekan Kapar, 42200 Kapar, Selangor",https://maps.app.goo.gl/by7nC4Lsh7aMRusSA
"ZUS Coffee – Sri Rampai, Setapak",Kuala Lumpur/Selangor,"No.39 (Ground Floor), Jalan 45/26 Taman Sri Rampai, 53300 Kuala Lumpur.",https://maps.app.goo.gl/UFPhAXiUpmb2v9X57
ZUS Coffee – Bloomsvale Shopping Gallery,Kuala Lumpur/Selangor,"G-018, Level Ground Floor, Bloomsvale Shopping Gallery, 137, Jalan Puchong, 58200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",https://maps.app.goo.gl/uYE7LuvdEp2yugjXA
ZUS Coffee – Bandar Mahkota Cheras,Kuala Lumpur/Selangor,"GK-01, BMC Mall. Jalan Temenggung 21/9, Bandar Mahkota Cheras, 43200 Cheras, Selangor.",https://maps.app.goo.gl/NJcrYqQpzVxSY3R1A
ZUS Coffee – KL Traders Square,Kuala Lumpur/Selangor,"51-G, KLTS, NO. 99, JALAN GOMBAK, SETAPAK, 53000, KUALA LUMPUR",https://maps.app.goo.gl/ovNcaWjp4BCQgJbp7
"ZUS Coffee – Bandar Kinrara 5, Puchong",Kuala Lumpur/Selangor,"No 10(GF), Jalan BK 5A/2C, Bandar Kinrara 5, 47180 Puchong, Selangor",https://maps.app.goo.gl/SFmvcBUEDf4GNZZd8
ZUS Coffee – KPJ Kajang Specialist Hospital,Kuala Lumpur/Selangor,"KPJ Kajang Specialist Hospital, Jalan Cheras, Kampung Sungai Kantan, 43000 Kajang, Selangor.",https://maps.app.goo.gl/cV26tGNhZYm3Jtgm8
